UserID,Age,Gender,Location,BrowsingHistory,CategoriesExplored,ClickThroughRate,RatingsGiven,ProductName,Category,Price,Brand,Specifications,Description,Tags,ImageID
U0029,32,Female,"New York, US",Mouse|Laptop,Books,0.86,4.0,Dell XPS 13,Smartphone,487,Dell,"Noise-cancelling, wireless",Premium headphones,running|premium,IMG0029
U0030,32,Male,"Sydney, AU",Sneakers|Mouse,Apparel,0.73,3.7,The Alchemist,Sneakers,1342,Nike,"Cushioned, breathable",Inspirational fiction,bestseller|lightweight,IMG0030
U0031,27,Male,"New York, US",Laptop,Electronics|Gadgets,0.62,3.8,Nike Air Max 270,Laptop,291,Sony,"13-inch, i7, 16GB RAM",High-performance laptop,running|gym|lightweight,IMG0031
U0032,34,Female,"Mumbai, IN",Mouse|Headphones,Electronics,0.83,3.6,Sony WH-1000XM5,Sneakers,1129,Nike,"Noise-cancelling, wireless",Premium headphones,running,IMG0032
U0033,50,Male,"Mumbai, IN",Laptop,Gadgets,0.57,4.3,Nike Air Max 270,Smartphone,1146,Nike,"13-inch, i7, 16GB RAM",Advanced smartphone,gym,IMG0033
U0034,57,Female,"Sydney, AU",Sneakers|Socks,Electronics|Gadgets,0.56,4.6,iPhone 14,Sneakers,555,Sony,"Paperback, 198 pages",Inspirational fiction,running,IMG0034
U0035,43,Male,"Sydney, AU",Sneakers|Socks|Mouse,Books,0.86,4.6,Sony WH-1000XM5,Book,1288,Sony,"Paperback, 198 pages",Comfortable running shoes,gym,IMG0035
U0036,48,Male,"Sydney, AU",Socks|Laptop,Gadgets,0.51,4.5,Nike Air Max 270,Smartphone,114,Harper,"13-inch, i7, 16GB RAM",Inspirational fiction,premium|lightweight|running,IMG0036
U0037,51,Female,"New York, US",Laptop,Gadgets|Electronics,0.73,4.3,The Alchemist,Sneakers,563,Apple,"Paperback, 198 pages",High-performance laptop,bestseller|gym|running,IMG0037
U0038,26,Male,"New York, US",Laptop|Mouse,Electronics|Footwear,0.67,4.5,The Alchemist,Headphones,609,Nike,"OLED display, 128GB storage",Advanced smartphone,running|bestseller,IMG0038
U0039,32,Male,"Mumbai, IN",Sneakers|Smartphone|Book,Footwear,0.55,3.7,Nike Air Max 270,Sneakers,339,Dell,"OLED display, 128GB storage",Comfortable running shoes,running|bestseller,IMG0039
U0040,52,Male,"Sydney, AU",Laptop|Smartphone,Books,0.61,3.9,Dell XPS 13,Smartphone,338,Harper,"Paperback, 198 pages",Premium headphones,bestseller|running|premium,IMG0040
U0041,46,Male,"London, UK",Mouse,Books,0.54,3.7,Sony WH-1000XM5,Book,472,Dell,"Noise-cancelling, wireless",Premium headphones,lightweight|bestseller,IMG0041
U0042,59,Female,"New York, US",Sneakers,Electronics,0.66,3.2,iPhone 14,Laptop,853,Sony,"Cushioned, breathable",High-performance laptop,premium|gym,IMG0042
U0043,39,Female,"New York, US",Sneakers,Footwear,0.52,3.8,iPhone 14,Laptop,69,Nike,"13-inch, i7, 16GB RAM",Premium headphones,lightweight,IMG0043
U0044,29,Male,"Sydney, AU",Book,Books|Apparel,0.76,4.2,Sony WH-1000XM5,Sneakers,935,Nike,"Cushioned, breathable",Advanced smartphone,lightweight|running,IMG0044
U0045,60,Male,"Tokyo, JP",Book,Apparel|Books,0.78,3.7,Sony WH-1000XM5,Headphones,1214,Harper,"Noise-cancelling, wireless",Advanced smartphone,lightweight,IMG0045
U0046,59,Male,"London, UK",Socks|Laptop|Smartphone,Books,0.89,3.0,iPhone 14,Smartphone,975,Nike,"OLED display, 128GB storage",Comfortable running shoes,bestseller,IMG0046
U0047,18,Female,"London, UK",Mouse|Smartphone,Books|Electronics,0.55,4.4,Nike Air Max 270,Sneakers,235,Nike,"OLED display, 128GB storage",Inspirational fiction,bestseller|premium,IMG0047
U0048,43,Male,"Mumbai, IN",Mouse|Sneakers,Apparel,0.53,4.1,Dell XPS 13,Headphones,36,Sony,"Noise-cancelling, wireless",Advanced smartphone,running|bestseller,IMG0048
U0049,52,Male,"Mumbai, IN",Socks|Mouse,Books,0.62,4.5,Sony WH-1000XM5,Headphones,721,Dell,"OLED display, 128GB storage",Inspirational fiction,lightweight|premium|bestseller,IMG0049
U0050,58,Male,"London, UK",Sneakers|Socks|Smartphone,Electronics,0.55,3.2,iPhone 14,Sneakers,664,Sony,"Noise-cancelling, wireless",Advanced smartphone,premium,IMG0050
U0051,26,Male,"London, UK",Sneakers|Laptop,Books,0.57,4.5,Dell XPS 13,Laptop,979,Dell,"OLED display, 128GB storage",Comfortable running shoes,bestseller|gym,IMG0051
U0052,41,Female,"Tokyo, JP",Socks|Laptop|Mouse,Books|Apparel,0.85,5.0,Nike Air Max 270,Laptop,132,Dell,"13-inch, i7, 16GB RAM",Advanced smartphone,bestseller,IMG0052
U0053,20,Female,"Tokyo, JP",Headphones|Book|Socks,Gadgets|Electronics,0.59,5.0,Dell XPS 13,Laptop,570,Dell,"13-inch, i7, 16GB RAM",Advanced smartphone,lightweight|bestseller|running,IMG0053
U0054,26,Male,"Tokyo, JP",Laptop|Mouse|Smartphone,Footwear,0.72,4.1,Sony WH-1000XM5,Book,1441,Harper,"Paperback, 198 pages",Premium headphones,bestseller,IMG0054
U0055,57,Male,"New York, US",Headphones,Electronics|Apparel,0.64,3.8,The Alchemist,Laptop,600,Dell,"Noise-cancelling, wireless",Premium headphones,lightweight|gym|premium,IMG0055
U0056,40,Female,"Tokyo, JP",Smartphone,Books,0.7,3.3,Sony WH-1000XM5,Sneakers,789,Nike,"Cushioned, breathable",Advanced smartphone,premium|bestseller,IMG0056
U0057,26,Female,"Tokyo, JP",Socks|Book|Headphones,Electronics|Books,0.5,3.4,iPhone 14,Smartphone,1041,Harper,"Paperback, 198 pages",Comfortable running shoes,bestseller|premium|lightweight,IMG0057
U0058,36,Female,"New York, US",Book|Smartphone,Electronics|Footwear,0.69,4.2,Sony WH-1000XM5,Headphones,85,Dell,"Noise-cancelling, wireless",High-performance laptop,running,IMG0058
U0059,32,Male,"Mumbai, IN",Book|Mouse,Footwear|Electronics,0.6,4.7,Nike Air Max 270,Book,1346,Nike,"Paperback, 198 pages",Advanced smartphone,running,IMG0059
U0060,40,Male,"Mumbai, IN",Mouse|Book,Gadgets|Electronics,0.89,4.4,Dell XPS 13,Smartphone,326,Apple,"Paperback, 198 pages",Premium headphones,gym|lightweight,IMG0060
U0061,24,Male,"Mumbai, IN",Laptop|Socks|Headphones,Gadgets,0.51,4.0,iPhone 14,Headphones,980,Sony,"OLED display, 128GB storage",Inspirational fiction,gym|lightweight|premium,IMG0061
U0062,44,Female,"Mumbai, IN",Sneakers,Gadgets|Apparel,0.67,4.0,Nike Air Max 270,Sneakers,942,Harper,"13-inch, i7, 16GB RAM",Advanced smartphone,premium,IMG0062
U0063,28,Female,"Sydney, AU",Socks,Gadgets|Books,0.67,4.2,Nike Air Max 270,Laptop,454,Harper,"Paperback, 198 pages",Premium headphones,premium|gym|running,IMG0063
U0064,42,Male,"Sydney, AU",Headphones,Gadgets|Apparel,0.7,3.4,iPhone 14,Book,1043,Dell,"Paperback, 198 pages",High-performance laptop,premium|bestseller,IMG0064
U0065,31,Female,"Mumbai, IN",Mouse,Apparel,0.69,3.3,Nike Air Max 270,Sneakers,1378,Dell,"Noise-cancelling, wireless",Advanced smartphone,lightweight|running,IMG0065
U0066,20,Female,"New York, US",Socks|Headphones,Apparel|Gadgets,0.52,3.5,Dell XPS 13,Sneakers,740,Dell,"13-inch, i7, 16GB RAM",Advanced smartphone,lightweight,IMG0066
U0067,25,Male,"London, UK",Socks|Headphones,Books|Gadgets,0.72,4.3,Dell XPS 13,Sneakers,1215,Dell,"13-inch, i7, 16GB RAM",High-performance laptop,gym|running,IMG0067
U0068,28,Male,"London, UK",Smartphone,Gadgets,0.56,4.6,The Alchemist,Book,380,Nike,"Paperback, 198 pages",Advanced smartphone,gym,IMG0068
U0069,19,Female,"Tokyo, JP",Smartphone,Books,0.88,3.6,Nike Air Max 270,Smartphone,1160,Apple,"Paperback, 198 pages",Comfortable running shoes,lightweight|gym,IMG0069
U0070,32,Female,"Sydney, AU",Mouse|Laptop|Sneakers,Gadgets,0.63,3.1,iPhone 14,Laptop,763,Dell,"13-inch, i7, 16GB RAM",Comfortable running shoes,running|gym,IMG0070
U0071,18,Female,"New York, US",Sneakers|Book|Mouse,Electronics,0.66,3.1,iPhone 14,Headphones,143,Sony,"Cushioned, breathable",Inspirational fiction,gym|running|lightweight,IMG0071
U0072,51,Male,"Mumbai, IN",Mouse|Laptop|Book,Electronics|Footwear,0.79,3.4,The Alchemist,Laptop,1402,Harper,"Paperback, 198 pages",Inspirational fiction,bestseller,IMG0072
U0073,37,Female,"Tokyo, JP",Headphones,Gadgets,0.72,3.3,iPhone 14,Book,659,Dell,"Cushioned, breathable",Advanced smartphone,gym|running,IMG0073
U0074,20,Male,"Tokyo, JP",Headphones,Footwear|Gadgets,0.66,4.9,iPhone 14,Sneakers,882,Sony,"13-inch, i7, 16GB RAM",Advanced smartphone,running|bestseller,IMG0074
U0075,54,Female,"Tokyo, JP",Mouse|Sneakers,Electronics,0.81,4.9,Dell XPS 13,Sneakers,1116,Harper,"13-inch, i7, 16GB RAM",Comfortable running shoes,premium|gym|bestseller,IMG0075
U0076,18,Male,"Sydney, AU",Sneakers|Smartphone|Laptop,Gadgets|Apparel,0.61,3.8,Dell XPS 13,Sneakers,1496,Dell,"13-inch, i7, 16GB RAM",High-performance laptop,premium,IMG0076
U0077,25,Male,"New York, US",Sneakers|Headphones|Book,Gadgets,0.85,4.1,The Alchemist,Laptop,555,Sony,"Paperback, 198 pages",High-performance laptop,bestseller,IMG0077
U0078,29,Female,"Tokyo, JP",Book|Laptop|Socks,Gadgets,0.66,3.6,The Alchemist,Book,995,Nike,"Cushioned, breathable",Comfortable running shoes,gym,IMG0078
U0079,19,Male,"New York, US",Book|Laptop|Smartphone,Electronics|Books,0.85,4.4,Sony WH-1000XM5,Book,602,Nike,"13-inch, i7, 16GB RAM",High-performance laptop,running,IMG0079
U0080,35,Female,"Sydney, AU",Smartphone,Gadgets|Electronics,0.76,3.1,Nike Air Max 270,Laptop,424,Sony,"Cushioned, breathable",Advanced smartphone,running|bestseller|gym,IMG0080
U0081,44,Female,"Sydney, AU",Laptop|Smartphone,Books,0.74,4.2,Nike Air Max 270,Book,1495,Harper,"Noise-cancelling, wireless",Premium headphones,gym|premium,IMG0081
U0082,38,Female,"London, UK",Sneakers,Electronics|Apparel,0.74,3.1,Dell XPS 13,Laptop,424,Sony,"13-inch, i7, 16GB RAM",Advanced smartphone,premium|bestseller,IMG0082
U0083,24,Male,"New York, US",Headphones,Footwear,0.75,4.6,Sony WH-1000XM5,Sneakers,1280,Sony,"Noise-cancelling, wireless",High-performance laptop,premium|gym,IMG0083
U0084,59,Female,"Mumbai, IN",Socks|Book,Books,0.78,4.2,Dell XPS 13,Smartphone,656,Harper,"Noise-cancelling, wireless",Inspirational fiction,premium|running|gym,IMG0084
U0085,39,Male,"Tokyo, JP",Smartphone,Footwear|Gadgets,0.68,3.5,iPhone 14,Smartphone,994,Dell,"Cushioned, breathable",High-performance laptop,bestseller,IMG0085
U0086,18,Female,"Tokyo, JP",Headphones,Footwear|Electronics,0.59,4.2,Nike Air Max 270,Headphones,278,Sony,"OLED display, 128GB storage",Premium headphones,bestseller|running,IMG0086
U0087,31,Female,"Sydney, AU",Smartphone|Laptop|Socks,Gadgets,0.87,4.9,Nike Air Max 270,Smartphone,652,Sony,"Noise-cancelling, wireless",Premium headphones,premium,IMG0087
U0088,38,Male,"Mumbai, IN",Book|Sneakers|Smartphone,Apparel|Electronics,0.85,4.6,The Alchemist,Headphones,1304,Sony,"Cushioned, breathable",High-performance laptop,premium|running,IMG0088
U0089,54,Male,"Tokyo, JP",Book|Laptop,Gadgets|Books,0.78,4.9,iPhone 14,Smartphone,1382,Harper,"OLED display, 128GB storage",Premium headphones,running|lightweight|bestseller,IMG0089
U0090,56,Female,"Mumbai, IN",Smartphone|Sneakers|Mouse,Apparel|Electronics,0.6,3.8,Dell XPS 13,Book,48,Nike,"13-inch, i7, 16GB RAM",Premium headphones,premium|running,IMG0090
U0091,56,Male,"New York, US",Headphones|Mouse|Smartphone,Gadgets,0.56,4.1,The Alchemist,Book,1343,Apple,"Cushioned, breathable",Advanced smartphone,premium|bestseller,IMG0091
U0092,34,Female,"Mumbai, IN",Headphones|Laptop|Smartphone,Footwear|Electronics,0.7,4.9,The Alchemist,Book,673,Harper,"Noise-cancelling, wireless",Advanced smartphone,gym,IMG0092
U0093,34,Male,"Mumbai, IN",Sneakers|Socks|Smartphone,Books|Footwear,0.58,4.4,Dell XPS 13,Laptop,185,Dell,"OLED display, 128GB storage",Inspirational fiction,running|bestseller|lightweight,IMG0093
U0094,20,Female,"New York, US",Socks|Headphones|Smartphone,Apparel|Electronics,0.58,3.0,iPhone 14,Headphones,681,Sony,"Paperback, 198 pages",High-performance laptop,bestseller,IMG0094
U0095,50,Female,"Sydney, AU",Laptop,Gadgets,0.67,3.8,Nike Air Max 270,Headphones,313,Nike,"13-inch, i7, 16GB RAM",Comfortable running shoes,gym|running,IMG0095
U0096,53,Male,"New York, US",Sneakers|Smartphone|Laptop,Electronics,0.75,3.5,Dell XPS 13,Laptop,498,Nike,"13-inch, i7, 16GB RAM",Inspirational fiction,premium|running|gym,IMG0096
U0097,46,Female,"Sydney, AU",Book|Sneakers,Apparel,0.87,5.0,The Alchemist,Book,530,Apple,"Cushioned, breathable",Inspirational fiction,bestseller|lightweight|premium,IMG0097
U0098,41,Female,"Mumbai, IN",Mouse|Sneakers,Gadgets|Footwear,0.7,4.2,Sony WH-1000XM5,Sneakers,113,Sony,"Paperback, 198 pages",Premium headphones,premium|bestseller|lightweight,IMG0098
U0099,44,Male,"London, UK",Book|Laptop|Headphones,Gadgets,0.8,3.4,Sony WH-1000XM5,Sneakers,295,Apple,"Noise-cancelling, wireless",High-performance laptop,premium|running|gym,IMG0099
U0100,31,Female,"Tokyo, JP",Headphones|Mouse|Sneakers,Electronics|Books,0.9,3.6,Sony WH-1000XM5,Smartphone,458,Sony,"OLED display, 128GB storage",Advanced smartphone,premium|bestseller|lightweight,IMG0100
U0101,42,Male,"Mumbai, IN",Laptop|Smartphone|Mouse,Apparel|Books,0.74,3.0,iPhone 14,Laptop,273,Sony,"Noise-cancelling, wireless",Premium headphones,lightweight,IMG0101
U0102,43,Male,"London, UK",Smartphone,Gadgets|Electronics,0.85,3.9,iPhone 14,Laptop,503,Nike,"Paperback, 198 pages",Comfortable running shoes,gym|bestseller,IMG0102
U0103,44,Female,"London, UK",Mouse|Book|Headphones,Footwear,0.88,3.5,The Alchemist,Book,902,Dell,"Paperback, 198 pages",Premium headphones,gym|lightweight|bestseller,IMG0103
U0104,47,Male,"Sydney, AU",Socks|Headphones|Laptop,Footwear|Apparel,0.57,4.4,Nike Air Max 270,Laptop,241,Harper,"Noise-cancelling, wireless",Premium headphones,gym,IMG0104
U0105,18,Male,"Tokyo, JP",Sneakers|Socks|Book,Footwear|Electronics,0.71,4.6,The Alchemist,Headphones,1468,Dell,"Paperback, 198 pages",High-performance laptop,gym|bestseller|lightweight,IMG0105
U0106,34,Male,"Mumbai, IN",Smartphone|Socks|Sneakers,Gadgets|Footwear,0.54,4.4,iPhone 14,Sneakers,1199,Nike,"Cushioned, breathable",Inspirational fiction,lightweight,IMG0106
U0107,38,Female,"London, UK",Mouse|Sneakers,Footwear|Gadgets,0.73,3.4,Sony WH-1000XM5,Laptop,804,Nike,"OLED display, 128GB storage",Premium headphones,gym|premium|running,IMG0107
U0108,35,Female,"London, UK",Mouse|Book,Gadgets|Electronics,0.58,4.8,Nike Air Max 270,Sneakers,52,Dell,"Noise-cancelling, wireless",Comfortable running shoes,lightweight,IMG0108
U0109,22,Female,"London, UK",Headphones|Smartphone|Socks,Electronics,0.55,3.2,The Alchemist,Headphones,660,Apple,"Noise-cancelling, wireless",Premium headphones,gym,IMG0109
U0110,22,Female,"Sydney, AU",Sneakers|Smartphone,Gadgets|Footwear,0.58,4.1,The Alchemist,Headphones,788,Dell,"Paperback, 198 pages",Premium headphones,gym|bestseller|running,IMG0110
U0111,44,Female,"Tokyo, JP",Socks|Mouse|Headphones,Apparel|Footwear,0.71,3.2,Nike Air Max 270,Smartphone,469,Harper,"13-inch, i7, 16GB RAM",High-performance laptop,running,IMG0111
U0112,51,Female,"Tokyo, JP",Book|Headphones,Books,0.66,4.4,Sony WH-1000XM5,Smartphone,466,Nike,"Noise-cancelling, wireless",High-performance laptop,bestseller|gym|lightweight,IMG0112
U0113,50,Female,"Mumbai, IN",Headphones|Book,Gadgets|Electronics,0.77,3.1,iPhone 14,Book,957,Dell,"Noise-cancelling, wireless",Advanced smartphone,bestseller|premium,IMG0113
U0114,58,Female,"Tokyo, JP",Mouse|Headphones|Socks,Apparel|Gadgets,0.61,3.6,The Alchemist,Laptop,525,Dell,"Paperback, 198 pages",Advanced smartphone,bestseller|running|gym,IMG0114
U0115,18,Female,"Tokyo, JP",Laptop|Mouse|Socks,Electronics,0.79,4.5,iPhone 14,Headphones,1395,Harper,"13-inch, i7, 16GB RAM",Comfortable running shoes,bestseller,IMG0115
U0116,27,Female,"London, UK",Mouse|Smartphone,Apparel|Electronics,0.82,4.6,Nike Air Max 270,Laptop,579,Apple,"13-inch, i7, 16GB RAM",Premium headphones,gym|running|lightweight,IMG0116
U0117,30,Male,"New York, US",Mouse|Headphones,Apparel|Electronics,0.64,3.4,The Alchemist,Book,1191,Apple,"Noise-cancelling, wireless",High-performance laptop,premium,IMG0117
U0118,60,Male,"London, UK",Book|Smartphone,Books|Footwear,0.81,4.4,iPhone 14,Sneakers,426,Dell,"Cushioned, breathable",High-performance laptop,running,IMG0118
U0119,58,Male,"Tokyo, JP",Mouse|Book,Gadgets|Electronics,0.67,4.6,Sony WH-1000XM5,Sneakers,308,Harper,"OLED display, 128GB storage",Comfortable running shoes,lightweight|bestseller,IMG0119
U0120,39,Male,"New York, US",Book|Headphones|Sneakers,Footwear|Gadgets,0.62,4.5,Sony WH-1000XM5,Book,380,Nike,"Cushioned, breathable",High-performance laptop,gym|bestseller,IMG0120
U0121,33,Male,"London, UK",Laptop|Mouse,Apparel|Books,0.51,3.4,Sony WH-1000XM5,Headphones,911,Dell,"Paperback, 198 pages",Premium headphones,running|gym|lightweight,IMG0121
U0122,45,Female,"Mumbai, IN",Mouse,Footwear,0.5,4.8,Nike Air Max 270,Smartphone,403,Dell,"Paperback, 198 pages",Premium headphones,gym|premium,IMG0122
U0123,20,Male,"Mumbai, IN",Mouse|Headphones,Electronics,0.53,4.5,Sony WH-1000XM5,Book,1162,Apple,"Noise-cancelling, wireless",Comfortable running shoes,running,IMG0123
U0124,27,Female,"New York, US",Socks,Electronics|Apparel,0.86,4.1,Dell XPS 13,Sneakers,937,Sony,"Paperback, 198 pages",High-performance laptop,running|bestseller,IMG0124
U0125,39,Female,"New York, US",Headphones|Smartphone|Sneakers,Electronics|Books,0.53,4.8,Nike Air Max 270,Sneakers,519,Harper,"13-inch, i7, 16GB RAM",Premium headphones,lightweight|bestseller|running,IMG0125
U0126,39,Male,"London, UK",Laptop,Gadgets|Footwear,0.89,3.8,Sony WH-1000XM5,Laptop,62,Sony,"Noise-cancelling, wireless",Premium headphones,lightweight|premium|bestseller,IMG0126
U0127,39,Male,"Sydney, AU",Socks|Headphones,Gadgets,0.56,4.9,Nike Air Max 270,Laptop,1311,Nike,"13-inch, i7, 16GB RAM",High-performance laptop,gym|premium|bestseller,IMG0127
U0128,44,Male,"Mumbai, IN",Socks|Mouse|Laptop,Footwear|Gadgets,0.65,4.3,Dell XPS 13,Book,262,Sony,"OLED display, 128GB storage",Comfortable running shoes,lightweight|premium,IMG0128
U0129,51,Male,"New York, US",Mouse|Laptop,Books,0.77,4.3,Sony WH-1000XM5,Sneakers,994,Dell,"13-inch, i7, 16GB RAM",Inspirational fiction,gym,IMG0129
U0130,40,Female,"Mumbai, IN",Mouse,Gadgets,0.86,3.4,Sony WH-1000XM5,Laptop,1138,Sony,"Cushioned, breathable",Premium headphones,gym,IMG0130
U0131,48,Male,"New York, US",Book|Smartphone,Electronics|Books,0.72,4.8,Dell XPS 13,Book,1247,Harper,"13-inch, i7, 16GB RAM",Advanced smartphone,lightweight,IMG0131
U0132,59,Female,"Tokyo, JP",Smartphone|Headphones|Socks,Apparel,0.76,3.2,Nike Air Max 270,Headphones,764,Nike,"13-inch, i7, 16GB RAM",Advanced smartphone,running|gym|premium,IMG0132
U0133,57,Male,"New York, US",Smartphone,Electronics|Books,0.69,4.8,Sony WH-1000XM5,Book,865,Apple,"OLED display, 128GB storage",Advanced smartphone,gym|lightweight,IMG0133
U0134,27,Male,"London, UK",Socks|Mouse|Book,Electronics|Gadgets,0.87,4.3,Sony WH-1000XM5,Smartphone,874,Harper,"13-inch, i7, 16GB RAM",Comfortable running shoes,running|bestseller|lightweight,IMG0134
U0135,31,Female,"Mumbai, IN",Headphones|Mouse|Sneakers,Footwear|Apparel,0.6,3.1,Sony WH-1000XM5,Smartphone,569,Apple,"OLED display, 128GB storage",High-performance laptop,gym|premium,IMG0135
U0136,47,Male,"Tokyo, JP",Socks|Book,Gadgets|Apparel,0.83,4.3,Nike Air Max 270,Laptop,745,Dell,"Noise-cancelling, wireless",High-performance laptop,bestseller|running,IMG0136
U0137,26,Male,"Mumbai, IN",Headphones|Book|Laptop,Gadgets|Books,0.9,4.7,Nike Air Max 270,Sneakers,443,Sony,"Paperback, 198 pages",Advanced smartphone,bestseller|lightweight|gym,IMG0137
U0138,54,Female,"Tokyo, JP",Laptop|Socks,Apparel|Footwear,0.51,4.3,iPhone 14,Laptop,1494,Sony,"Noise-cancelling, wireless",High-performance laptop,premium|running,IMG0138
U0139,46,Female,"Mumbai, IN",Smartphone,Books,0.54,4.8,Nike Air Max 270,Book,1078,Nike,"Noise-cancelling, wireless",Premium headphones,premium,IMG0139
U0140,23,Male,"Mumbai, IN",Headphones|Book,Apparel,0.77,3.7,Sony WH-1000XM5,Laptop,261,Sony,"13-inch, i7, 16GB RAM",Inspirational fiction,lightweight,IMG0140
